V1,heard_of_drones,what_is_Chtofrjk,decide_intent,ai_have_intent,responsible_programmer,responsible_AI_employer,responsible_instructor,responsible_Human_employer,why_responsibility,pilot_mistake,drone_error,heard_of_ai,ai_means_what,PROLIFIC_PID,country_name,country_adj,Intent_word,second_Intent_word,first_Intent_word,Definition,second_Definition,first_Definition,pilot,your_WF_LT_BT_Benefit,your_WF_LT_BT_Intent,your_WF_LT_BT_Desire,your_WF_LT_BT_Skills,your_WF_LT_BT_Break_the_law,your_WF_LT_BT_Cause,your_WF_LT_BT_Decision_freedom,your_WF_LT_BT_Predict,your_WF_LF_BT_Benefit,your_WF_LF_BT_Intent,your_WF_LF_BT_Desire,your_WF_LF_BT_Skills,your_WF_LF_BT_Break_the_law,your_WF_LF_BT_Cause,your_WF_LF_BT_Decision_freedom,your_WF_LF_BT_Predict,your_WT_LT_BT_Benefit,your_WT_LT_BT_Intent,your_WT_LT_BT_Desire,your_WT_LT_BT_Skills,your_WT_LT_BT_Break_the_law,your_WT_LT_BT_Cause,your_WT_LT_BT_Decision_freedom,your_WT_LT_BT_Predict,your_WT_LF_BT_Benefit,your_WT_LF_BT_Intent,your_WT_LF_BT_Desire,your_WT_LF_BT_Skills,your_WT_LF_BT_Break_the_law,your_WT_LF_BT_Cause,your_WT_LF_BT_Decision_freedom,your_WT_LF_BT_Predict,your_WF_LT_BF_Benefit,your_WF_LT_BF_Intent,your_WF_LT_BF_Desire,your_WF_LT_BF_Skills,your_WF_LT_BF_Break_the_law,your_WF_LT_BF_Cause,your_WF_LT_BF_Decision_freedom,your_WF_LT_BF_Predict,your_WF_LF_BF_Benefit,your_WF_LF_BF_Intent,your_WF_LF_BF_Desire,your_WF_LF_BF_Skills,your_WF_LF_BF_Break_the_law,your_WF_LF_BF_Cause,your_WF_LF_BF_Decision_freedom,your_WF_LF_BF_Predict,your_WT_LT_BF_Benefit,your_WT_LT_BF_Intent,your_WT_LT_BF_Desire,your_WT_LT_BF_Skills,your_WT_LT_BF_Break_the_law,your_WT_LT_BF_Cause,your_WT_LT_BF_Decision_freedom,your_WT_LT_BF_Predict,your_WT_LF_BF_Benefit,your_WT_LF_BF_Intent,your_WT_LF_BF_Desire,your_WT_LF_BF_Skills,your_WT_LF_BF_Break_the_law,your_WT_LF_BF_Cause,your_WT_LF_BF_Decision_freedom,your_WT_LF_BF_Predict,Formal_WF_LT_BT_Benefit,Formal_WF_LT_BT_Intent,Formal_WF_LT_BT_Desire,Formal_WF_LT_BT_Skills,Formal_WF_LT_BT_Break_the_law,Formal_WF_LT_BT_Cause,Formal_WF_LT_BT_Decision_freedom,Formal_WF_LT_BT_Predict,Formal_WF_LF_BT_Benefit,Formal_WF_LF_BT_Intent,Formal_WF_LF_BT_Desire,Formal_WF_LF_BT_Skills,Formal_WF_LF_BT_Break_the_law,Formal_WF_LF_BT_Cause,Formal_WF_LF_BT_Decision_freedom,Formal_WF_LF_BT_Predict,Formal_WT_LT_BT_Benefit,Formal_WT_LT_BT_Intent,Formal_WT_LT_BT_Desire,Formal_WT_LT_BT_Skills,Formal_WT_LT_BT_Break_the_law,Formal_WT_LT_BT_Cause,Formal_WT_LT_BT_Decision_freedom,Formal_WT_LT_BT_Predict,Formal_WT_LF_BT_Benefit,Formal_WT_LF_BT_Intent,Formal_WT_LF_BT_Desire,Formal_WT_LF_BT_Skills,Formal_WT_LF_BT_Break_the_law,Formal_WT_LF_BT_Cause,Formal_WT_LF_BT_Decision_freedom,Formal_WT_LF_BT_Predict,Formal_WF_LT_BF_Benefit,Formal_WF_LT_BF_Intent,Formal_WF_LT_BF_Desire,Formal_WF_LT_BF_Skills,Formal_WF_LT_BF_Break_the_law,Formal_WF_LT_BF_Cause,Formal_WF_LT_BF_Decision_freedom,Formal_WF_LT_BF_Predict,Formal_WF_LF_BF_Benefit,Formal_WF_LF_BF_Intent,Formal_WF_LF_BF_Desire,Formal_WF_LF_BF_Skills,Formal_WF_LF_BF_Break_the_law,Formal_WF_LF_BF_Cause,Formal_WF_LF_BF_Decision_freedom,Formal_WF_LF_BF_Predict,Formal_WT_LT_BF_Benefit,Formal_WT_LT_BF_Intent,Formal_WT_LT_BF_Desire,Formal_WT_LT_BF_Skills,Formal_WT_LT_BF_Break_the_law,Formal_WT_LT_BF_Cause,Formal_WT_LT_BF_Decision_freedom,Formal_WT_LT_BF_Predict,Formal_WT_LF_BF_Benefit,Formal_WT_LF_BF_Intent,Formal_WT_LF_BF_Desire,Formal_WT_LF_BF_Skills,Formal_WT_LF_BF_Break_the_law,Formal_WT_LF_BF_Cause,Formal_WT_LF_BF_Decision_freedom,Formal_WT_LF_BF_Predict
20,I have heard about drones before,The best word to describe the Fhljmakonian legal concept of intent is illegal,By focusing on whether on the day it was windy or did the coordinates show that the human pilot chose the route,"Yes because, they may not be able to control every movement the drone makes since they are not experienced pilots",5,3,8,4,"I made these judgments because the employer is not telling the pilots or AI pilots to make these decisions, therefore the human ",4,6,Yes,I think it means something relating to robotics,60e0a24fe0ea51877a82be7d,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,1,10,8,1,Yes,10,10,9,7,10,9,2,Yes,10,10,10,1,10,5,2,Yes,10,10,10,10,10,10,10,Yes,7,10,10,1,10,10,8,No,1,7,5,7,10,4,2,Yes,10,10,10,1,10,10,10,Yes,7,8,6,4,10,7,2,Yes,10,10,10,1,10,8,2,Yes,10,10,8,9,10,8,3,Yes,10,8,10,1,10,6,4,Yes,5,5,6,4,10,6,3,Yes,10,10,10,1,10,8,2,No,8,8,5,7,10,10,2,Yes,10,10,10,1,10,6,2,Yes,10,7,8,1,10,7,3
23,I have heard about drones before,planned planning - I can't think of any more,"arrows, and looking to see what might happen next when wind taken into account","yes, as they can anticipate what the wind might do and plan accordingly",6,8,8,7,human feeling can override programming,6,3,Yes,"programmed software, designed to make decisions",5a5f7480acc75b00017aab51,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,9,8,7,4,6,5,6,Yes,1,6,4,5,6,5,6,Yes,8,6,6,4,6,5,6,Yes,1,4,3,5,4,4,4,No,10,4,5,4,5,5,5,No,1,9,5,3,7,5,6,No,8,7,7,2,7,5,8,Yes,2,3,4,4,4,4,6,Yes,7,6,6,4,5,5,5,Yes,6,6,4,6,6,5,6,Yes,7,7,6,4,5,5,5,Yes,5,5,4,5,5,5,6,No,6,6,5,4,6,5,6,No,6,6,3,6,6,5,5,No,6,6,6,4,6,5,6,Yes,3,4,5,4,5,5,6
26,I have heard about drones before,"Probably cause, understanding, plan of action ",Whether there was wind or no wind,No I don’t think an AI pilot can have intent,4,4,10,9,……………………………………………………,6,8,Yes,An artificial machine,60e0bb0286b7a379d36aafba,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,No,10,10,10,3,10,10,10,No,4,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,6,7,10,10,10,Yes,10,9,9,9,9,10,9,Yes,10,10,10,10,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,8,10,10,10,No,5,10,10,10,9,9,9,No,2,10,8,9,9,9,9,Yes,10,10,9,10,10,9,10,No,4,10,10,10,9,8,10
27,I have heard about drones before,"permission, legal protection",Looking at the proposed course of the pilot,Yes i think so. I am unsure but can it somehow be programmed in or suggested by software/AI developers,7,9,8,8,"I believe if human training is involved, then responsibility lies with the trainer",3,5,Yes,"Being able to provide a delivery service without human input at any stage of the process, relying on autonomous drones",60d273217dd7dde4d8f21748,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,10,10,10,Yes,9,10,10,8,10,9,10,Yes,10,10,10,1,10,8,9,Yes,1,3,3,3,1,5,1,No,10,10,5,1,10,3,10,No,9,2,2,8,8,8,5,No,10,10,5,1,1,3,2,Yes,1,1,1,1,2,2,2,Yes,9,10,10,1,10,10,10,Yes,9,9,9,9,9,5,9,Yes,10,3,6,2,4,4,4,Yes,8,5,8,5,4,5,5,No,5,9,1,6,8,5,7,No,7,5,6,5,5,5,1,No,1,3,5,3,5,5,8,Yes,2,3,3,1,7,5,5
29,I have heard about drones before,the intentional decision to do something,if they chose a route which went through no-fly zones with no wind,yes because they make a decision,8,6,4,6,human pilots can make decisions based on motivation while AI has no motivation except what they are programmed to do,5,3,Yes,a computer software that makes decisions,60d6497b6f2147b24ee44732,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,7,1,10,9,10,Yes,10,10,5,10,10,10,10,Yes,1,1,3,2,3,3,6,Yes,0,0,3,6,3,2,4,No,10,10,8,3,10,6,8,No,4,10,4,7,8,5,5,Yes,0,1,3,0,2,2,4,No,0,0,1,3,4,2,6,Yes,10,10,9,1,8,10,10,Yes,10,10,3,10,9,9,10,Yes,2,6,7,1,4,6,5,Yes,0,1,4,5,4,5,7,No,10,10,8,0,9,9,10,No,7,9,4,10,8,10,10,Yes,1,4,6,0,3,4,7,Yes,0,2,3,4,5,4,6
31,I have heard about drones before,"Foresight, knowledge, ",Weather or not they followed the planned route,"Yes, although it would be programmed intent. ",8,8,2,1,The human pilot has more freedom to make a choice and is less able to be controlled by the trainer,5,4,Yes,"The drone is capable of making decisions regarding the route, it can also learn how to deal with unplanned situations",60e06ae17c1aacf5341d6f8c,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,0,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,1,0,7,0,0,0,0,No,10,10,10,0,10,10,10,No,0,7,0,10,10,10,10,Yes,10,0,10,0,0,0,0,No,0,0,9,0,0,5,0,Yes,10,10,10,0,10,10,10,Yes,10,10,5,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,0,0,10,0,0,0,0,No,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,0,0,10,0,0,0,0,Yes,0,0,0,0,0,0,0
33,I have heard about drones before,they only had intent if multiple conditions are met simultaneously without outside influence,comparing the pilots intended flight plan to the flight that actually happened regardless of if they entered no-fly zones,no they can't have intent because intent implies some form of motive behind it that I do not believe AI's can possess,6,10,4,10,"an employer always has responsibility to make sure his company is running safely and effectively, software programmers have a li",6,4,Yes,the intelligence to create and follow flight plans which also accommodate for weather conditions like wind which may disrupt the,60e0b8e9ecfb9fad8eb4b396,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,9,Yes,10,10,5,9,10,8,8,Yes,6,6,5,0,3,4,2,Yes,0,0,6,1,0,0,0,No,10,10,6,0,10,9,7,No,10,10,5,7,10,9,9,No,1,1,6,0,2,1,0,Yes,3,3,4,2,3,1,1,Yes,10,10,10,0,10,10,9,Yes,10,10,4,6,10,10,9,Yes,1,3,5,0,1,1,1,Yes,1,3,4,2,1,2,1,No,10,10,5,0,10,10,9,No,10,10,4,5,10,10,9,No,0,2,6,1,1,2,3,Yes,0,4,4,2,1,1,2
34,I have heard about drones before,"motivation, purpose, consciousness, awareness",whether there was wind or not,Yes if it is programmed to make it's own decisions rather than follow a specific code,6,5,8,7,I believe responsibility is a more human concept whereas AI is more ambiguous,6,1,Yes,a computer programme that freely controls the drone without human influence,60e1825f7bf27bc687dc20aa,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,5,10,Yes,10,8,1,8,8,5,5,Yes,10,7,7,0,5,4,9,Yes,5,5,4,3,4,5,8,Yes,10,8,8,0,8,7,9,Yes,9,9,5,5,9,5,6,No,1,3,3,0,7,5,5,Yes,2,4,3,1,3,3,6,Yes,10,8,9,0,9,9,9,Yes,8,5,2,8,8,8,8,Yes,7,7,7,1,6,4,7,Yes,6,5,5,6,3,3,8,Yes,8,8,8,1,8,8,9,Yes,10,7,5,5,8,8,9,No,2,2,3,1,3,5,9,No,5,1,2,3,5,5,7
35,I have heard about drones before,It was planned and deliberate (desired + foreseeably),Wind level and how close to the illegal zones the route was,"No, It has to be programmed in ",10,4,5,7,Human error is a factor and also the fact that drones have to be programmed so if there is an issue its been done deliberately t,6,1,Yes,Unmanned and programmed to follow orders of a route,60e1b97d9e85e47446db321d,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,0,10,10,0,10,0,9,Yes,10,10,5,7,7,2,2,Yes,3,8,8,2,5,2,5,Yes,5,6,5,4,5,6,6,No,10,10,6,1,10,8,4,No,10,6,6,6,4,4,4,Yes,0,9,8,1,7,3,7,Yes,5,6,5,3,4,5,5,Yes,10,10,10,0,10,1,10,Yes,10,10,3,7,9,10,3,Yes,3,9,7,2,7,6,9,Yes,4,4,6,4,7,5,3,No,10,10,5,2,10,5,7,No,10,10,3,7,10,2,7,No,1,8,9,1,8,9,2,Yes,2,7,7,1,6,3,9
37,I have heard about drones before,To not deviate from the desired flight plan,Flight plan vs wind vs flight time benefit,AI can have intent based on how it is programmed for a flight plan and how much benefit it can have on flight time,9,8,7,8,"Anyone who is involved in training, programming or setting up software related to the AI or flight plan procedures plays a part ",4,4,Yes,It is software that learns and does not need constant maintenance or direction in order to function,60e0b93c3038b854db4960ff,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,8,9,9,1,9,9,9,Yes,3,9,7,6,6,6,5,Yes,8,10,10,1,10,8,9,Yes,5,9,8,8,9,8,7,No,5,9,5,1,8,8,8,No,1,3,4,3,3,4,3,No,10,4,8,1,7,6,8,Yes,6,3,4,1,3,4,4,Yes,9,9,9,1,9,9,10,Yes,10,10,8,8,9,8,8,Yes,1,8,7,1,7,7,6,Yes,1,4,4,1,4,2,3,No,9,9,8,1,9,7,8,No,9,9,6,8,7,7,7,Yes,1,3,6,1,4,2,3,Yes,1,3,4,2,3,3,3
40,I have heard about drones before,Decisive action - a decision calculated and purposely chosen,The decisions they made based on the weather,Yes as they have been programmed this way,7,7,10,10,"Humans can make split second judgements at the time, the programmed machines can only make the decisions they have been programm",5,6,No,Robots- machines made by humans to complete technical jobs,60df6d0879c92942c997958b,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,9,9,10,Yes,7,8,6,6,10,9,10,Yes,10,10,8,1,8,8,7,Yes,10,7,8,2,8,7,7,No,10,10,10,1,10,10,10,No,10,10,10,6,9,10,7,No,7,9,10,1,10,10,7,No,8,1,7,7,10,9,9,Yes,10,10,10,1,10,10,10,Yes,10,10,3,10,10,10,10,Yes,10,10,10,1,8,7,8,No,1,1,3,4,2,4,6,No,10,10,6,1,10,9,10,No,10,1,4,3,9,9,10,No,10,3,4,0,10,9,7,No,1,1,4,5,8,7,8
41,I have heard about drones before,"planned, foreseeable, wish, ",original route/ time,no. it is programmed and therefore it is not the AI who has intent but rather the programmer,9,8,2,10,employers are vacariously liable for their employees,5,4,Yes,programmed and systematic way of doing something without human interaction,60ddb84386eb83559f02534c,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,1,10,10,10,Yes,5,7,2,5,7,1,4,Yes,10,4,4,1,2,2,3,Yes,5,3,3,1,3,5,2,No,10,10,10,0,10,10,10,No,4,3,3,3,3,3,3,Yes,10,6,6,1,6,4,3,Yes,2,3,4,3,4,5,2,Yes,9,10,10,1,10,10,9,No,9,4,4,5,4,4,4,Yes,5,9,8,1,2,2,3,Yes,1,3,2,4,2,3,3,No,10,10,9,8,8,8,8,No,9,10,8,1,3,4,3,Yes,4,3,3,3,3,3,3,Yes,2,4,1,4,2,3,2
43,I have heard about drones before,"With purpose, aim, target",If they seemed to be heading in that direction initially and if it benefited its journey.,It can initially desire to go a certain way however ultimately the humans also play a role inits intent. Doesn't come from AI al,1,2,3,2,The employer hold limited responsibility as they didn't lay down the rules however without them actively employing them no law w,7,3,Yes,Automatically mapping out the route for the drone to take.,60e0bffb9cd65dae5610b542,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,9,10,8,1,9,9,9,Yes,10,9,8,10,9,10,8,Yes,9,9,10,2,9,9,10,Yes,9,8,8,1,3,3,7,No,10,10,9,1,10,10,9,No,7,9,8,10,9,9,9,Yes,6,7,7,2,7,8,9,Yes,6,7,8,3,8,6,7,Yes,9,8,9,3,3,9,10,Yes,8,9,9,9,8,6,9,Yes,8,9,9,3,8,9,10,Yes,9,9,8,9,6,7,6,No,8,9,9,1,9,8,8,No,3,4,3,7,5,6,3,Yes,7,7,5,2,9,9,8,Yes,5,7,5,2,7,6,4
47,I have heard about drones before,Free will and acting on the desier to do so,"Based off how they flew during wind, and their obligation to follow the law","They would be able to compensate for the wind, predict the outcome of the direction turned, and compensate....intending to turn ",0,0,0,0,A person doesn't lose their autonomy when they sign a contract. A person is bound and governed by their own moral compass. No on,5,5,Yes,"A computer following a set of steps, and compensating with alternate programed steps, when the original plan is compromised",60e0fa90d40ed90b3ea99e4b,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,5,Yes,10,10,9,10,10,10,5,Yes,0,0,10,0,0,10,5,Yes,10,0,10,0,0,0,5,No,10,10,9,0,10,10,5,No,10,10,9,5,10,10,5,No,0,0,10,0,0,0,5,No,0,0,5,0,0,5,5,Yes,10,10,10,0,10,10,5,Yes,10,10,9,6,10,10,5,Yes,10,10,10,0,10,10,5,Yes,0,0,10,0,0,0,5,No,10,10,5,0,10,10,5,No,10,10,9,5,10,10,5,No,0,0,10,0,0,0,5,No,0,0,9,0,0,0,5
49,I have heard about drones before,They made the decision before the event,Adherence to the flight plan,"Yes, because intent is learned through its programming",6,10,0,10,Instructors are not responsible for what pilots do after their training ends. Employers are responsible for the acts of their em,5,2,Yes,Computer programs becoming more sophisticated through experience,60e18fc810d0837bef0f5873,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,10,Yes,10,10,0,10,10,10,10,Yes,0,0,10,0,10,10,0,Yes,0,0,9,0,10,10,0,No,10,10,0,0,10,10,10,No,10,0,0,10,10,10,10,No,10,0,10,0,10,10,10,Yes,0,0,10,0,10,10,0,Yes,10,10,10,0,10,10,10,Yes,10,10,0,10,10,10,10,Yes,0,0,0,0,0,10,0,Yes,0,0,8,0,0,10,0,No,10,10,0,0,10,10,10,No,10,0,0,0,0,10,10,No,0,0,8,0,0,10,0,Yes,0,0,0,0,0,10,0
50,I have heard about drones before,Fhljmakonian legal concept of  Intent is Criminal Law,Its accompany  the acts of certain crimes to constitute a violation,"A criminal law, an intent is a state of mind , AI simply got a programmer",8,5,3,3,The pilots cant be in full control at all times,7,6,Yes," simulation of human intelligence processes by machines, especially computer systems",60e022767fe4b17d5e9cddc0,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,8,8,8,8,8,8,8,No,2,3,8,4,3,4,5,Yes,9,8,8,3,7,7,7,No,2,1,2,3,3,3,3,Yes,9,8,8,8,8,8,8,No,2,6,9,6,6,4,5,Yes,8,7,7,2,7,7,4,Yes,1,2,2,2,2,2,2,Yes,8,8,7,2,8,8,8,No,2,2,3,3,3,2,3,Yes,7,8,8,2,8,8,8,No,2,3,3,5,5,3,4,Yes,7,9,9,2,9,9,9,No,2,2,2,6,2,2,3,Yes,8,8,7,2,8,8,8,No,1,2,2,2,2,3,3
56,I have heard about drones before,foresight of the consequences,Whether the wind affected him,Because the intent will have been programmed.,8,8,9,9,Humans are more responsible,3,2,Yes,Automated and unmanned,60df1cc8cf3d0394f263b210,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,9,Yes,8,6,6,9,9,9,9,Yes,8,7,6,1,3,3,2,Yes,1,2,4,1,1,2,2,No,8,8,8,1,8,8,8,No,5,10,8,8,8,10,10,Yes,1,2,5,2,2,2,2,Yes,2,1,4,2,2,2,2,Yes,9,10,10,1,10,9,9,Yes,7,7,6,9,7,7,7,Yes,2,2,5,1,2,1,2,Yes,1,1,4,1,1,1,1,No,10,9,9,1,9,9,9,No,10,9,8,8,9,9,9,Yes,10,10,9,1,9,8,6,Yes,2,7,6,2,1,1,1
58,I have heard about drones before,to have in mind purpose or goal,flight path and wind,yes as they have some degree of control,10,10,1,2,instructor can not be responsible for actions of pilot once training is completed,8,7,No,computer controlled drone by software,5ac64f340527ba0001c224fc,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,3,10,10,10,Yes,10,10,5,4,10,5,6,Yes,10,10,10,2,10,10,10,Yes,8,2,4,4,4,4,5,No,10,10,4,4,10,7,6,No,1,2,2,2,10,2,4,No,10,10,5,5,10,10,10,Yes,10,2,9,5,10,6,6,Yes,10,10,10,1,10,10,10,Yes,10,10,10,10,10,10,10,Yes,10,10,10,5,10,10,10,Yes,2,3,4,2,10,4,4,No,2,10,3,10,10,10,4,No,5,2,4,4,10,5,5,Yes,10,10,10,2,10,10,10,Yes,3,1,5,6,5,4,2
59,I have heard about drones before,Aim and objective of the ai pilot,Choices of the Ai Pilot,The tike frame registered for the AI to reach its target,10,8,8,9,"Because it is being controlled by humans, and they are trained ",3,8,Yes,Programmed drones achieving a goal,60df70ed696ecb699b7751fc,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,7,8,6,0,5,7,7,Yes,0,6,3,6,7,4,6,No,9,8,7,0,0,3,0,Yes,5,7,1,5,7,7,7,No,0,10,0,0,8,8,0,No,0,7,0,6,7,6,0,Yes,5,7,8,0,5,6,6,Yes,6,0,8,2,1,7,0,Yes,8,6,6,7,6,6,5,No,10,9,2,10,8,7,7,Yes,9,7,6,0,7,5,6,No,1,0,8,3,2,1,1,No,9,8,0,0,8,6,3,No,8,10,0,8,7,8,2,No,10,7,8,0,6,6,4,No,8,7,0,7,3,6,2
60,I have heard about drones before,"Intentional, on purpose",The pilot had knowledge of the wind prior to the flight.,"Yes, it only does what it intends to do",10,10,10,10,"Because whoever is in charge and makes the plan is responsible, and whoever is responsible for them as well.",3,2,Yes,More advanced measures for flying drones,5dbc82054ea3b2235b277058,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,10,10,10,0,10,10,10,Yes,5,5,10,0,5,5,10,No,10,10,10,0,10,10,10,No,0,10,0,10,10,10,10,Yes,10,10,10,0,10,0,10,Yes,0,0,10,0,1,5,10,Yes,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10,Yes,10,10,10,0,10,10,10,No,10,10,0,10,10,10,10
62,I have heard about drones before,"Desire, Cause, Want.",Desirability and the plan.,Yes as AI can make yes/ no decisions on what best suits their performance.,6,6,3,3,The Employer and Instructor will have some responsibility for the explanations and instructing of severity of the actions howeve,4,3,Yes,It could be really useful towards the logistics company.,60e0ec3dd9c51beb8edd7445,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,10,1,10,10,10,Yes,10,10,8,10,10,10,10,Yes,5,4,6,1,6,6,4,Yes,5,1,4,1,1,1,2,No,5,3,3,1,6,4,6,No,5,4,2,7,3,5,3,No,1,1,8,1,2,7,6,Yes,4,1,4,1,2,6,1,Yes,10,10,10,1,10,10,10,Yes,10,10,6,10,10,10,10,Yes,3,3,4,1,2,5,4,Yes,4,3,1,2,3,5,2,No,5,7,3,1,4,5,3,No,5,4,2,3,6,5,3,No,1,1,7,1,2,5,3,Yes,4,4,2,5,2,5,3
63,I have heard about drones before,"criminal law that proscribe character that may harm or threaten life, property and health",since there are guideline and where the human pilot can not drive the drone through,"no, because they can only carry out instructions they have being programmed for",10,2,10,10,because artificial intelligent can not think on their own but only what is programmed so the programmer is to be blamed if it br,5,2,Yes,a robotic machine that is programmed to carry out a specific instruction,60e02b2fde1ce3582206719c,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,9,9,9,4,9,9,8,Yes,0,9,6,8,8,10,8,Yes,10,7,7,2,8,2,7,Yes,1,1,3,2,2,2,2,No,10,10,3,0,9,9,5,No,3,1,1,4,2,2,2,Yes,7,9,8,0,9,9,8,Yes,6,1,1,4,4,4,2,Yes,10,9,9,2,9,9,9,Yes,8,9,6,8,7,8,8,Yes,3,6,5,3,2,3,3,Yes,1,3,2,2,2,1,4,No,10,9,4,8,8,8,5,No,9,8,1,9,9,9,9,No,1,4,4,5,8,3,7,Yes,0,4,4,2,2,9,4
66,I have heard about drones before,"Planned, Consciously-Decided",Whether the wind or the pilot caused the drone to pass through the square,No because AI is programmed by humans thus it is the humans that have intent,9,9,6,6,A human pilot's instructors and employers have greater responsibility than an AI pilot's equivalents. An instructor has the resp,4,5,Yes,The drones are autonomous meaning that they are able to make their own decisions and thus plan their own flight paths with no hu,60e1cc8d70825ff9d7caf113,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,1,10,10,1,10,10,10,Yes,10,10,8,10,10,10,10,Yes,1,9,9,1,9,8,2,Yes,1,6,5,1,1,10,6,Yes,10,10,10,1,10,10,10,No,10,10,6,10,10,10,10,Yes,1,9,9,1,9,10,8,Yes,1,1,3,1,1,10,1,Yes,10,10,10,1,10,10,10,Yes,10,10,1,10,10,10,10,Yes,1,6,9,1,7,10,8,Yes,1,1,8,1,7,5,6,No,10,10,7,1,10,10,10,No,10,10,1,10,10,10,10,Yes,1,2,8,1,6,7,8,Yes,1,1,9,1,5,6,6
67,I have heard about drones before,Willingly brake the law,Whether it was windy or not,Yes thay seemed to go off cours with out wind or country to the prevaling wind,6,5,6,7,Correct Training and protacall,4,1,Yes,Room for errors to occur,60e060cff610d45c130ff87d,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,10,10,10,4,10,10,10,Yes,0,10,10,9,9,9,10,Yes,10,10,10,5,10,10,10,Yes,7,1,10,1,3,8,8,No,1,7,5,0,10,10,5,No,0,9,5,10,10,10,10,Yes,10,10,10,1,10,10,10,No,5,1,10,1,3,5,8,Yes,10,10,10,0,10,10,10,Yes,9,9,6,10,10,10,10,Yes,3,4,10,2,6,6,6,No,1,3,9,1,5,5,6,No,9,8,8,3,10,10,10,No,10,8,6,10,10,10,9,Yes,10,10,10,0,10,10,10,No,1,3,9,5,7,6,7
69,I have heard about drones before,They desired to fly through that specific zone.,From the experience of some pilots.,current science has made everyting possible.,10,10,10,10,I am speaking from my experience.,7,2,No,I don't think there is any possibility.,60df40102efaff7821689d62,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,8,7,10,1,9,0,8,Yes,7,7,9,1,9,5,9,Yes,8,8,10,1,9,5,7,Yes,9,7,8,1,10,5,8,Yes,10,9,10,1,9,3,7,Yes,7,6,10,1,8,4,8,Yes,7,10,9,2,10,8,9,Yes,5,5,10,1,8,4,9,Yes,8,10,10,0,10,5,8,Yes,8,8,10,0,10,5,8,Yes,9,9,9,0,10,4,8,Yes,7,7,9,2,10,5,8,Yes,10,9,7,1,8,5,8,Yes,4,5,10,1,10,4,7,Yes,7,9,10,0,10,5,8,Yes,6,8,10,1,8,4,7
71,Drones are new to me,"criminal, purposeful, knowingly","if it was beneficial/non-beneficial, legal/illegal, and if it was windy",I think the intent is to get to the end goal and to follow the plan according to the rules,3,6,7,6,Technology is following instructions and humans have free will,6,6,Yes,following flight plans accordingly,5f7b6f66f815c412bc31bc7c,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,AI,Yes,0,10,10,0,10,0,10,Yes,0,10,2,10,10,0,10,Yes,10,4,7,0,7,0,7,Yes,10,2,5,0,6,0,4,No,0,10,7,0,10,5,10,No,10,10,2,10,10,10,10,No,10,3,8,0,7,0,5,Yes,10,3,5,0,6,0,5,Yes,10,10,10,0,10,0,10,Yes,10,10,1,10,10,10,10,Yes,0,4,8,0,9,0,8,Yes,0,2,3,0,5,0,6,No,10,10,10,0,10,0,10,No,10,10,3,10,10,0,10,No,0,4,9,0,9,1,9,Yes,0,2,6,0,6,0,6
72,I have heard about drones before,It was done on purpose,Whether there was wind or not,"Yes I do, as not everyone is honest ",5,5,10,3,Just by following instructions,3,4,Yes,I’m not sure to be honest,60df2fb643e3c64f5adda16b,Fhljmakon,Fhljmakonian,Intent,Intent,Cthofrjk,your,your,The Formal,Human,Yes,10,10,8,0,9,9,7,No,0,1,1,10,10,10,10,Yes,8,5,6,4,3,3,7,Yes,6,2,5,4,3,3,6,Yes,10,10,10,1,10,10,10,No,0,10,2,8,10,8,10,Yes,6,3,4,4,1,5,4,No,3,2,4,6,6,6,7,Yes,8,10,7,1,10,10,10,No,10,10,0,10,10,10,7,Yes,1,2,5,1,4,3,3,Yes,1,0,7,1,3,2,6,Yes,10,10,4,1,10,10,7,No,10,10,1,10,10,10,6,Yes,0,4,8,1,2,2,6,Yes,0,1,6,1,3,3,5